ff,ff,8,3,3,4,2,2,2,2,2,2,4,4,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,d,3,16,4,0,0,0,0,0,0,0,0,4,5,3,c,ff,6,ff,ff
6,10,8,3,3,2,2,2,2,2,2,2,21,7,2,2,4,4,4,4,4,d,0,0,0,0,0,0,0,0,0,2,2,4,0,0,0,0,4,2,4,0,4,5,3,c,ff,6,ff,ff
9,ff,e,7,3,4,4,2,2,2,2,2,3,3,2,4,2,2,2,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,2,f,4,5,3,c,ff,6,ff,ff
9,ff,8,3,3,2,2,2,2,2,2,2,7,7,2,4,2,2,2,2,2,4,0,d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,2,f,4,5,3,c,ff,6,ff,ff
ff,ff,10,6,b,3,5,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,c,ff,6,ff,ff
ff,ff,12,ff,c,3,3,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,c,ff,6,ff,ff
ff,ff,6,a,10,1a,b,19,7,7,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,b,6,6,ff,ff
ff,ff,ff,ff,ff,ff,ff,5,3,7,4,4,2,2,2,2,2,2,2,2,2,2,2,2,4,4,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,5,c,ff,ff,ff,ff
ff,ff,ff,ff,10,6,6,e,19,1d,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,0,d,d,d,0,0,0,0,0,0,0,0,0,4,3,7,1c,15,15,9,10
ff,ff,ff,ff,ff,ff,ff,ff,ff,14,3,5,2,4,2,2,2,2,2,2,2,2,4,2,3,3,2,4,2,2,2,2,2,4,0,0,0,0,0,0,0,0,0,0,0,3,3,e,ff,ff
ff,ff,ff,ff,ff,ff,ff,9,ff,14,7,3,4,4,2,4,2,2,2,2,2,2,4,2,3,3,2,4,2,2,2,2,2,4,0,0,0,0,0,0,0,0,0,0,0,3,3,8,ff,ff
ff,ff,ff,ff,ff,ff,ff,9,10,15,1a,1e,3,3,3,3,7,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,0,0,0,0,4,4,2,e,e
ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,25,3,3,3,5,7,4,4,2,2,2,2,2,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,0,0,0,0,0,f,4,3,3
ff,ff,ff,ff,ff,ff,ff,ff,ff,6,6,6,e,17,13,e,19,2,7,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,0,0,d,0,2,5,5
ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,b,3,5,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,0,0,0,0,2,5,5
ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,6,ff,b,3,5,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,0,0,0,0,2,5,5
ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,12,12,9,12,6,15,c,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,0,0,d,0,2,5,5
ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,5,7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,7,f,f,0,f,4,3,3
ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,6,a,1b,8,18,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,17,2,2,2,4,1d,8,8
ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,20,5,5,5,3,8,ff,ff
ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,9,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,10,1f,c,5,5,5,3,e,9,6
